date,value
2/26/2007,4970770000000
2/23/2007,4970760000000
2/22/2007,4970840000000
2/21/2007,4954720000000
2/20/2007,4954260000000
2/16/2007,4953790000000
2/15/2007,4947660000000
2/14/2007,4928310000000
2/13/2007,4928140000000
2/12/2007,4927670000000
2/9/2007,4927600000000
2/8/2007,4927590000000
2/7/2007,4915440000000
2/6/2007,4914810000000
2/5/2007,4914810000000
2/2/2007,4914960000000
2/1/2007,4914830000000
1/31/2007,4913960000000
1/30/2007,4894710000000
1/29/2007,4894170000000
1/26/2007,4890830000000
1/25/2007,4890710000000
1/24/2007,4890430000000
1/23/2007,4888600000000
1/22/2007,4888100000000
1/19/2007,4888250000000
1/18/2007,4888470000000
1/17/2007,4890300000000
1/16/2007,4889980000000
1/12/2007,4899370000000
1/11/2007,4899290000000
1/10/2007,4900150000000
1/9/2007,4899920000000
1/8/2007,4898350000000
1/5/2007,4898650000000
1/4/2007,4898820000000
1/3/2007,4906390000000
1/2/2007,4906150000000
12/29/2006,4901050000000
12/28/2006,4900600000000
12/27/2006,4917450000000
12/26/2006,4917000000000
12/22/2006,4917320000000
12/21/2006,4917410000000
12/20/2006,4930410000000
12/19/2006,4928640000000
12/18/2006,4927910000000
12/15/2006,4928250000000
12/14/2006,4960190000000
12/13/2006,4969450000000
12/12/2006,4967560000000
12/11/2006,4966390000000
12/8/2006,4966650000000
12/7/2006,4967100000000
12/6/2006,4967210000000
12/5/2006,4966740000000
12/4/2006,4955350000000
12/1/2006,4955420000000
11/30/2006,4929570000000
11/29/2006,4920980000000
11/28/2006,4920070000000
11/27/2006,4919860000000
11/24/2006,4920160000000
11/22/2006,4909770000000
11/21/2006,4909880000000
11/20/2006,4909150000000
11/17/2006,4909530000000
11/16/2006,4909530000000
11/15/2006,4900290000000
11/14/2006,4910700000000
11/13/2006,4910020000000
11/10/2006,4910210000000
11/9/2006,4910380000000
11/8/2006,4895480000000
11/7/2006,4894840000000
11/6/2006,4894610000000
11/3/2006,4894550000000
11/2/2006,4894460000000
11/1/2006,4879520000000
10/31/2006,4880610000000
10/30/2006,4861330000000
10/27/2006,4861280000000
10/26/2006,4861240000000
10/25/2006,4847700000000
10/24/2006,4847380000000
10/23/2006,4847000000000
10/20/2006,4846670000000
10/19/2006,4846480000000
10/18/2006,4840390000000
10/17/2006,4839140000000
10/16/2006,4838390000000
10/13/2006,4851630000000
10/12/2006,4851780000000
